NR_Cell_Identity,NR_Cell_Identity_decimal,Cell_Site_Common_Name,TAC,AWS Region
0CFC39007,3485700103,SDLAS00061B,85101,West - 2
0CFC3901C,3485700124,SDLAS00071A,85101,West - 2
0CFC39031,3485700145,SDLAS00072A,85101,West - 2
0CFC39046,3485700166,SDLAS00073A,85101,West - 2
0CFC3905B,3485700187,SDLAS00084B,85101,West - 2
0CFC39071,3485700209,SDLAS00091B,85101,West - 2
0CFC39085,3485700229,SDLAS00094B,85101,West - 2
0CFC3909A,3485700250,SDLAS00107C,85101,West - 2
0CFC390C4,3485700292,SDLAS00229A,85101,West - 2
0CFC390D9,3485700313,SDLAS00062B,85101,West - 2
0CFC390EE,3485700334,SDLAS00064A,85101,West - 2
0CFC3A007,3485704199,SDLAS00017C,85101,West - 2
0CFC3A01C,3485704220,SDLAS00039B,85101,West - 2
0CFC3A031,3485704241,SDLAS00063B,85101,West - 2
0CFC3A046,3485704262,SDLAS00066A,85101,West - 2
0CFC3A05B,3485704283,SDLAS00068B,85101,West - 2
0CFC3A071,3485704305,SDLAS00078B,85101,West - 2
0CFC3A085,3485704325,SDLAS00081B,85101,West - 2
0CFC3A09A,3485704346,SDLAS00124B,85101,West - 2
0CFC3A0AF,3485704367,SDLAS00126B,85101,West - 2
0CFC3A0C4,3485704388,SDLAS00226A,85101,West - 2
0CFC3B007,3485708295,SDLAS00002C,85101,West - 2
0CFC3B01C,3485708316,SDLAS00015B,85101,West - 2
0CFC3B031,3485708337,SDLAS00059B,85101,West - 2
0CFC3B046,3485708358,SDLAS00065A,85101,West - 2
0CFC3B05B,3485708379,SDLAS00070B,85101,West - 2
0CFC3B071,3485708401,SDLAS00103B,85101,West - 2
0CFC3B085,3485708421,SDLAS00109B,85101,West - 2
0CFC3B09A,3485708442,SDLAS00110B,85101,West - 2
0CFC3B0AF,3485708463,SDLAS00117A,85101,West - 2
0CFC3B0C4,3485708484,SDLAS00232A,85101,West - 2
0CFC3C007,3485712391,SDLAS00046A,85101,West - 2
0CFC3C01C,3485712412,SDLAS00049A,85101,West - 2
0CFC3C031,3485712433,SDLAS00053A,85101,West - 2
0CFC3C046,3485712454,SDLAS00055A,85101,West - 2
0CFC3C05B,3485712475,SDLAS00057A,85101,West - 2
0CFC3C09A,3485712538,SDLAS00069B,85101,West - 2
0CFC3C0AF,3485712559,SDLAS00188A,85101,West - 2
0CFC3C0C4,3485712580,SDLAS00189A,85101,West - 2
0CFC3D007,3485716487,SDLAS00028B,85101,West - 2
0CFC3D01C,3485716508,SDLAS00031B,85101,West - 2
0CFC3D031,3485716529,SDLAS00033B,85101,West - 2
0CFC3D046,3485716550,SDLAS00045B,85101,West - 2
0CFC3D05B,3485716571,SDLAS00086B,85101,West - 2
0CFC3D071,3485716593,SDLAS00088C,85101,West - 2
0CFC3D085,3485716613,SDLAS00113C,85101,West - 2
0CFC3D09A,3485716634,SDLAS00202A,85101,West - 2
0CFC3D0AF,3485716655,SDLAS00230A,85101,West - 2
0CFC40007,3485728775,SDLAS00024C,85101,West - 2
0CFC4001C,3485728796,SDLAS00035B,85101,West - 2
0CFC40031,3485728817,SDLAS00037B,85101,West - 2
0CFC40046,3485728838,SDLAS00040A,85101,West - 2
0CFC4005B,3485728859,SDLAS00042B,85101,West - 2
0CFC40071,3485728881,SDLAS00050C,85101,West - 2
0CFC4009A,3485728922,SDLAS00082B,85101,West - 2
0CFC400AF,3485728943,SDLAS00101B,85101,West - 2
0CFC400C4,3485728964,SDLAS00122C,85101,West - 2
0CFC41007,3485732871,SDLAS00007B,85101,West - 2
0CFC4101C,3485732892,SDLAS00008D,85101,West - 2
0CFC41031,3485732913,SDLAS00027A,85101,West - 2
0CFC41046,3485732934,SDLAS00052B,85101,West - 2
0CFC4105B,3485732955,SDLAS00056B,85101,West - 2
0CFC41071,3485732977,SDLAS00089B,85101,West - 2
0CFC41085,3485732997,SDLAS00116A,85101,West - 2
0CFC4109A,3485733018,SDLAS00125C,85101,West - 2
0CFC44007,3485745159,SDLAS00001D,85101,West - 2
0CFC4401C,3485745180,SDLAS00003A,85101,West - 2
0CFC44031,3485745201,SDLAS00010B,85101,West - 2
0CFC44046,3485745222,SDLAS00014A,85101,West - 2
0CFC4405B,3485745243,SDLAS00083C,85101,West - 2
0CFC44071,3485745265,SDLAS00093B,85101,West - 2
0CFC44085,3485745285,SDLAS00121B,85101,West - 2
0CFC4409A,3485745306,SDLAS00168A,85101,West - 2
0CFC440AF,3485745327,SDLAS00227A,85101,West - 2
0CFC440C4,3485745348,SDLAS00231A,85101,West - 2
0CFC3E007,3485720583,SDLAS00005C,85102,West - 2
0CFC3E01C,3485720604,SDLAS00030B,85102,West - 2
0CFC3E031,3485720625,SDLAS00043B,85102,West - 2
0CFC3E046,3485720646,SDLAS00048A,85102,West - 2
0CFC3E05B,3485720667,SDLAS00054B,85102,West - 2
0CFC3E071,3485720689,SDLAS00060A,85102,West - 2
0CFC3E085,3485720709,SDLAS00077A,85102,West - 2
0CFC3E09A,3485720730,SDLAS00228A,85102,West - 2
0CFC3F007,3485724679,SDLAS00018B,85102,West - 2
0CFC3F01C,3485724700,SDLAS00026A,85102,West - 2
0CFC3F031,3485724721,SDLAS00044A,85102,West - 2
