NR_Cell_Identity,NR_Cell_Identity_decimal,Cell_Site_Common_Name,TAC,AWS Region
98969006,2560004102,JKMSY00003A,62501,East - 2
98969007,2560004103,JKMSY00003A,62501,East - 2
98969008,2560004104,JKMSY00003A,62501,East - 2
98969030,2560004144,JKMSY00007A,62501,East - 2
98969031,2560004145,JKMSY00007A,62501,East - 2
98969032,2560004146,JKMSY00007A,62501,East - 2
98969045,2560004165,JKMSY00014A,62501,East - 2
98969046,2560004166,JKMSY00014A,62501,East - 2
98969047,2560004167,JKMSY00014A,62501,East - 2
98969070,2560004208,JKMSY00022A,62501,East - 2
98969071,2560004209,JKMSY00022A,62501,East - 2
98969099,2560004249,JKMSY00039A,62501,East - 2
03FB8E0C3,1069080771,OKFYV00132B,26101,East - 2
088F6801B,2297856027,HOHOU00105B,56101,East - 2
088F68030,2297856048,HOHOU00128C,56101,East - 2
088F68045,2297856069,HOHOU00370B,56101,East - 2
088F6805A,2297856090,HOHOU00486A,56101,East - 2
088F6806F,2297856111,HOHOU00487C,56101,East - 2
088F68070,2297856112,HOHOU00487C,56101,East - 2
088F68084,2297856132,HOHOU00616A,56101,East - 2
088F68099,2297856153,HOHOU00733A,56101,East - 2
088F680AE,2297856174,HOHOU00734A,56101,East - 2
088F680B0,2297856176,HOHOU00734A,56101,East - 2
088F680C3,2297856195,HOHOU00735A,56101,East - 2
088F680D8,2297856216,HOHOU00747A,56101,East - 2
088F68102,2297856258,HOHOU00750A,56101,East - 2
088F6901B,2297860123,HOHOU00121B,56101,East - 2
088F69030,2297860144,HOHOU00227A,56101,East - 2
088F69099,2297860249,HOHOU00516A,56101,East - 2
088F690C3,2297860291,HOHOU00607A,56101,East - 2
088F690D8,2297860312,HOHOU00626A,56101,East - 2
088F690ED,2297860333,HOHOU00627A,56101,East - 2
088F69117,2297860375,HOHOU00728A,56101,East - 2
088F6A006,2297864198,HOHOU00099B,56101,East - 2
088F6A06F,2297864303,HOHOU00281B,56101,East - 2
088F6A070,2297864304,HOHOU00281B,56101,East - 2
088F6A084,2297864324,HOHOU00305B,56101,East - 2
088F6A099,2297864345,HOHOU00547A,56101,East - 2
088F6A0AE,2297864366,HOHOU00589A,56101,East - 2
088F6A0B0,2297864368,HOHOU00589A,56101,East - 2
088F6A0C3,2297864387,HOHOU00634A,56101,East - 2
088F6A0D8,2297864408,HOHOU00636A,56101,East - 2
088F6A0ED,2297864429,HOHOU00736B,56101,East - 2
088F6A102,2297864450,HOHOU00737A,56101,East - 2
088F6A117,2297864471,HOHOU00738A,56101,East - 2
088F6D06F,2297876591,HOHOU00529A,56101,East - 2
088F6D070,2297876592,HOHOU00529A,56101,East - 2
088F6D084,2297876612,HOHOU00542A,56101,East - 2
088F6D099,2297876633,HOHOU00549A,56101,East - 2
088F6D0AE,2297876654,HOHOU00581B,56101,East - 2
088F6D0B0,2297876656,HOHOU00581B,56101,East - 2
088F6D0C3,2297876675,HOHOU00603A,56101,East - 2
