NR_Cell_Identity,NR_Cell_Identity_decimal,Cell_Site_Common_Name,TAC,AWS Region
066C8C01C,1724432412,RIRIC00170A,42100,East - 1
066C8C031,1724432433,RIRIC00181A,42100,East - 1
066C8C046,1724432454,RIRIC00200A,42100,East - 1
066C8C0C4,1724432580,RIRIC00481A,42100,East - 1
066C8D01C,1724436508,RIRIC00026A,42100,East - 1
066C8D031,1724436529,RIRIC00180A,42100,East - 1
066C8D046,1724436550,RIRIC00198A,42100,East - 1
066C8D05B,1724436571,RIRIC00229A,42100,East - 1
066C8D071,1724436593,RIRIC00231A,42100,East - 1
066C8D085,1724436613,RIRIC00235A,42100,East - 1
066C8D09A,1724436634,RIRIC00356A,42100,East - 1
066C8D0EE,1724436718,RIRIC00484A,42100,East - 1
066C8D103,1724436739,RIRIC00499A,42100,East - 1
066C8D118,1724436760,RIRIC00511A,42100,East - 1
066C8E007,1724440583,RIRIC00124A,42100,East - 1
066C8E01C,1724440604,RIRIC00264A,42100,East - 1
066C8E031,1724440625,RIRIC00302A,42100,East - 1
066C8E09A,1724440730,RIRIC00452A,42100,East - 1
066C8E0AF,1724440751,RIRIC00478A,42100,East - 1
066C8E0C4,1724440772,RIRIC00485A,42100,East - 1
066C8E0D9,1724440793,RIRIC00493A,42100,East - 1
066C8E0EE,1724440814,RIRIC00496A,42100,East - 1
066C8E103,1724440835,RIRIC00512A,42100,East - 1
066C8F007,1724444679,RIRIC00102A,42100,East - 1
066C8F031,1724444721,RIRIC00319A,42100,East - 1
066C8F046,1724444742,RIRIC00390A,42100,East - 1
066C8F05B,1724444763,RIRIC00423A,42100,East - 1
066C8F071,1724444785,RIRIC00434A,42100,East - 1
066C8F085,1724444805,RIRIC00458A,42100,East - 1
066C8F09A,1724444826,RIRIC00472A,42100,East - 1
066C8F0AF,1724444847,RIRIC00476A,42100,East - 1
066C8F0C4,1724444868,RIRIC00487A,42100,East - 1
066C8F0D9,1724444889,RIRIC00516A,42100,East - 1
066C8F0EE,1724444910,RIRIC00573A,42100,East - 1
066C90007,1724448775,RIRIC00190A,42100,East - 1
066C9001C,1724448796,RIRIC00201A,42100,East - 1
066C90046,1724448838,RIRIC00258A,42100,East - 1
066C90085,1724448901,RIRIC00381A,42100,East - 1
066C9009A,1724448922,RIRIC00522A,42100,East - 1
066C900AF,1724448943,RIRIC00526A,42100,East - 1
066C900EE,1724449006,RIRIC00737A,42100,East - 1
066C91007,1724452871,RIRIC00032A,42100,East - 1
066C9101C,1724452892,RIRIC00041B,42100,East - 1
066C91031,1724452913,RIRIC00150A,42100,East - 1
066C91046,1724452934,RIRIC00189A,42100,East - 1
066C9105B,1724452955,RIRIC00204A,42100,East - 1
066C91071,1724452977,RIRIC00216A,42100,East - 1
066C91085,1724452997,RIRIC00251A,42100,East - 1
066C9109A,1724453018,RIRIC00318A,42100,East - 1
066C910D9,1724453081,RIRIC00360A,42100,East - 1
066C910EE,1724453102,RIRIC00419A,42100,East - 1
066C91103,1724453123,RIRIC00565A,42100,East - 1
066C91118,1724453144,RIRIC00578A,42100,East - 1
066C94007,1724465159,RIRIC00203A,42100,East - 1
066C9401C,1724465180,RIRIC00218A,42100,East - 1
066C9405B,1724465243,RIRIC00477A,42100,East - 1
066C94071,1724465265,RIRIC00480A,42100,East - 1
066C94085,1724465285,RIRIC00490A,42100,East - 1
066C940AF,1724465327,RIRIC00505A,42100,East - 1
066C940C4,1724465348,RIRIC00551A,42100,East - 1
07CC18007,2093056007,ATABY00011A,51100,East - 1
07CC1801C,2093056028,ATABY00012A,51100,East - 1
07CC18031,2093056049,ATABY00013A,51100,East - 1
07CC18046,2093056070,ATABY00014A,51100,East - 1
07CC1805B,2093056091,ATABY00022A,51100,East - 1
07CC18071,2093056113,ATABY00025A,51100,East - 1
07CC18085,2093056133,ATABY00029A,51100,East - 1
07CC1809A,2093056154,ATABY00031B,51100,East - 1
07CC180AF,2093056175,ATABY00033A,51100,East - 1
07CC180C4,2093056196,ATABY00041A,51100,East - 1
07CC180D9,2093056217,ATABY00042A,51100,East - 1
07CC180EE,2093056238,ATABY00048B,51100,East - 1
07CC19007,2093060103,ATABY00003A,51100,East - 1
07CC1901C,2093060124,ATABY00009A,51100,East - 1
07CC19031,2093060145,ATABY00010A,51100,East - 1
07CC19046,2093060166,ATABY00017A,51100,East - 1
07CC1905B,2093060187,ATABY00018A,51100,East - 1
07CC19071,2093060209,ATABY00026A,51100,East - 1
07CC19085,2093060229,ATABY00027A,51100,East - 1
07CC1909A,2093060250,ATABY00030A,51100,East - 1
07CC190AF,2093060271,ATABY00032A,51100,East - 1
07CC190C4,2093060292,ATABY00034A,51100,East - 1
07CC190D9,2093060313,ATABY00035A,51100,East - 1
07CC190EE,2093060334,ATABY00039A,51100,East - 1
07CC19103,2093060355,ATABY00051A,51100,East - 1
04EDBD007,1323028487,BOBDL00155A,32301,East - 1
04EDBD01C,1323028508,BOBDL00157A,32301,East - 1
04EDBD05B,1323028571,BOBDL00164A,32301,East - 1
04EDBD071,1323028593,BOBDL00167A,32301,East - 1
04EDBD09A,1323028634,BOBDL00175A,32301,East - 1
04EDBD0AF,1323028655,BOBDL00185A,32301,East - 1
04EDBD0D9,1323028697,BOBDL00194A,32301,East - 1
04EDBD118,1323028760,BOBDL00203A,32301,East - 1
04EDBD12D,1323028781,BOBDL00205A,32301,East - 1
04EDBD142,1323028802,BOBDL00207A,32301,East - 1
04EDBE007,1323032583,BOBDL00093A,32301,East - 1
04EDBE071,1323032689,BOBDL00176A,32301,East - 1
04EDBE085,1323032709,BOBDL00177A,32301,East - 1
04EDBE0C4,1323032772,BOBDL00183A,32301,East - 1
04EDBE118,1323032856,BOBDL00201A,32301,East - 1
04EDBE157,1323032919,BOBDL00216B,32301,East - 1
04EDBF007,1323036679,BOBDL00125A,32301,East - 1
04EDBF01C,1323036700,BOBDL00156A,32301,East - 1
04EDBF031,1323036721,BOBDL00161A,32301,East - 1
04EDBF05B,1323036763,BOBDL00170B,32301,East - 1
04EDBF085,1323036805,BOBDL00184A,32301,East - 1
04EDBF09A,1323036826,BOBDL00189A,32301,East - 1
04EDBF0AF,1323036847,BOBDL00192A,32301,East - 1
04EDBF0C4,1323036868,BOBDL00193A,32301,East - 1
04EDBF103,1323036931,BOBDL00202A,32301,East - 1
04EDBF142,1323036994,BOBDL00212A,32301,East - 1
04EDBF157,1323037015,BOBDL00215B,32301,East - 1
04EDC0007,1323040775,BOBDL00103A,32301,East - 1
04EDC0031,1323040817,BOBDL00140A,32301,East - 1
04EDC0071,1323040881,BOBDL00166A,32301,East - 1
04EDC00D9,1323040985,BOBDL00182A,32301,East - 1
04EDC0103,1323041027,BOBDL00190A,32301,East - 1
04EDC0118,1323041048,BOBDL00198B,32301,East - 1
04EDC012D,1323041069,BOBDL00208A,32301,East - 1
04EDC0157,1323041111,BOBDL00214A,32301,East - 1
04EDC3007,1323053063,BOBDL00021A,32301,East - 1
04EDC301C,1323053084,BOBDL00027A,32301,East - 1
04EDC3046,1323053126,BOBDL00036A,32301,East - 1
04EDC3085,1323053189,BOBDL00049A,32301,East - 1
04EDC309A,1323053210,BOBDL00069A,32301,East - 1
04EDC30AF,1323053231,BOBDL00070A,32301,East - 1
04EDC30D9,1323053273,BOBDL00100A,32301,East - 1
07DBB9007,2109444103,ATBHM00072A,51501,East - 1
07DBB901C,2109444124,ATBHM00105A,51501,East - 1
07DBB9031,2109444145,ATBHM00110A,51501,East - 1
07DBB905B,2109444187,ATBHM00250A,51501,East - 1
07DBB9071,2109444209,ATBHM00296A,51501,East - 1
07DBB9085,2109444229,ATBHM00318A,51501,East - 1
07DBB90AF,2109444271,ATBHM00440A,51501,East - 1
07DBB90C4,2109444292,ATBHM00487A,51501,East - 1
07DBBA007,2109448199,ATBHM00065A,51501,East - 1
07DBBA01C,2109448220,ATBHM00070A,51501,East - 1
07DBBA031,2109448241,ATBHM00071A,51501,East - 1
07DBBA046,2109448262,ATBHM00078A,51501,East - 1
07DBBA071,2109448305,ATBHM00127A,51501,East - 1
07DBBA09A,2109448346,ATBHM00149A,51501,East - 1
07DBBA0AF,2109448367,ATBHM00316A,51501,East - 1
07DBBA0C4,2109448388,ATBHM00392A,51501,East - 1
07DBBA0EE,2109448430,ATBHM00441A,51501,East - 1
07DBBA103,2109448451,ATBHM00442A,51501,East - 1
07DBBB01C,2109452316,ATBHM00066A,51501,East - 1
07DBBB046,2109452358,ATBHM00126A,51501,East - 1
07DBBB05B,2109452379,ATBHM00275A,51501,East - 1
07DBBB085,2109452421,ATBHM00390A,51501,East - 1
07DBBB09A,2109452442,ATBHM00391A,51501,East - 1
07DBBB0AF,2109452463,ATBHM00432A,51501,East - 1
07DBBB0C4,2109452484,ATBHM00468A,51501,East - 1
07DBBB0D9,2109452505,ATBHM00469A,51501,East - 1
04EDBA031,1323016241,BOBDL00023A,32302,East - 1
04EDBA046,1323016262,BOBDL00025A,32302,East - 1
04EDBA05B,1323016283,BOBDL00026A,32302,East - 1
04EDBA09A,1323016346,BOBDL00071A,32302,East - 1
04EDBA0AF,1323016367,BOBDL00075A,32302,East - 1
04EDBA0C4,1323016388,BOBDL00085A,32302,East - 1
04EDBA0D9,1323016409,BOBDL00086A,32302,East - 1
04EDBA103,1323016451,BOBDL00109A,32302,East - 1
04EDBA157,1323016535,BOBDL00152B,32302,East - 1
04EDBB01C,1323020316,BOBDL00035A,32302,East - 1
04EDBB031,1323020337,BOBDL00038A,32302,East - 1
04EDBB046,1323020358,BOBDL00039A,32302,East - 1
04EDBB05B,1323020379,BOBDL00057A,32302,East - 1
04EDBB071,1323020401,BOBDL00058A,32302,East - 1
04EDBB0AF,1323020463,BOBDL00084A,32302,East - 1
04EDBB0C4,1323020484,BOBDL00087A,32302,East - 1
04EDBB0EE,1323020526,BOBDL00121A,32302,East - 1
04EDBC01C,1323024412,BOBDL00022B,32302,East - 1
04EDBC05B,1323024475,BOBDL00062A,32302,East - 1
04EDBC071,1323024497,BOBDL00068A,32302,East - 1
04EDBC0AF,1323024559,BOBDL00092A,32302,East - 1
04EDBC118,1323024664,BOBDL00126A,32302,East - 1
04EDC1046,1323044934,BOBDL00032B,32302,East - 1
04EDC105B,1323044955,BOBDL00044A,32302,East - 1
04EDC109A,1323045018,BOBDL00078A,32302,East - 1
04EDC205B,1323049051,BOBDL00015A,32302,East - 1
04EDC2071,1323049073,BOBDL00017A,32302,East - 1
04EDC2085,1323049093,BOBDL00019A,32302,East - 1
04EDC20D9,1323049177,BOBDL00066A,32302,East - 1
04EDC20EE,1323049198,BOBDL00072A,32302,East - 1
04EDC501C,1323061276,BOBDL00010A,32302,East - 1
04EDC505B,1323061339,BOBDL00050A,32302,East - 1
04EDC5071,1323061361,BOBDL00063A,32302,East - 1
04EDC5085,1323061381,BOBDL00064A,32302,East - 1
04EDC509A,1323061402,BOBDL00076A,32302,East - 1
04EDC50AF,1323061423,BOBDL00082A,32302,East - 1
04EDC50EE,1323061486,BOBDL00104A,32302,East - 1
07DBBC007,2109456391,ATBHM00004A,51502,East - 1
07DBBC01C,2109456412,ATBHM00017A,51502,East - 1
07DBBC046,2109456454,ATBHM00091B,51502,East - 1
07DBBC05B,2109456475,ATBHM00156A,51502,East - 1
07DBBC071,2109456497,ATBHM00194A,51502,East - 1
07DBBC085,2109456517,ATBHM00197A,51502,East - 1
07DBBC09A,2109456538,ATBHM00198A,51502,East - 1
07DBBC0AF,2109456559,ATBHM00209A,51502,East - 1
07DBBC0C4,2109456580,ATBHM00252A,51502,East - 1
07DBBC0D9,2109456601,ATBHM00260A,51502,East - 1
07DBBC0EE,2109456622,ATBHM00266B,51502,East - 1
07DBBC103,2109456643,ATBHM00385A,51502,East - 1
07DBBC118,2109456664,ATBHM00386A,51502,East - 1
07DBBC12D,2109456685,ATBHM00394B,51502,East - 1
07DBBC157,2109456727,ATBHM00460A,51502,East - 1
07DBBD007,2109460487,ATBHM00012A,51502,East - 1
07DBBD01C,2109460508,ATBHM00013A,51502,East - 1
07DBBD031,2109460529,ATBHM00020A,51502,East - 1
07DBBD046,2109460550,ATBHM00045A,51502,East - 1
07DBBD05B,2109460571,ATBHM00061A,51502,East - 1
07DBBD071,2109460593,ATBHM00155A,51502,East - 1
07DBBD09A,2109460634,ATBHM00199A,51502,East - 1
07DBBD0AF,2109460655,ATBHM00220A,51502,East - 1
07DBBD0D9,2109460697,ATBHM00226A,51502,East - 1
07DBBD103,2109460739,ATBHM00244A,51502,East - 1
07DBBD12D,2109460781,ATBHM00311A,51502,East - 1
07DBBD142,2109460802,ATBHM00387A,51502,East - 1
07DBBD157,2109460823,ATBHM00461A,51502,East - 1
07DBBE007,2109464583,ATBHM00032A,51502,East - 1
07DBBE01C,2109464604,ATBHM00064B,51502,East - 1
07DBBE031,2109464625,ATBHM00077A,51502,East - 1
07DBBE046,2109464646,ATBHM00131A,51502,East - 1
07DBBE071,2109464689,ATBHM00221A,51502,East - 1
07DBBE085,2109464709,ATBHM00258A,51502,East - 1
07DBBE09A,2109464730,ATBHM00259A,51502,East - 1
07DBBE0C4,2109464772,ATBHM00408A,51502,East - 1
07DBBE0EE,2109464814,ATBHM00451A,51502,East - 1
07DBBE103,2109464835,ATBHM00458A,51502,East - 1
07DBBF007,2109468679,ATBHM00025A,51502,East - 1
07DBBF01C,2109468700,ATBHM00030A,51502,East - 1
07DBBF05B,2109468763,ATBHM00079A,51502,East - 1
07DBBF071,2109468785,ATBHM00081A,51502,East - 1
07DBBF09A,2109468826,ATBHM00195A,51502,East - 1
07DBBF0AF,2109468847,ATBHM00202A,51502,East - 1
07DBBF0C4,2109468868,ATBHM00213A,51502,East - 1
07DBBF0EE,2109468910,ATBHM00257A,51502,East - 1
07DBBF118,2109468952,ATBHM00393A,51502,East - 1
07DBBF142,2109468994,ATBHM00425A,51502,East - 1
07DBBF157,2109469015,ATBHM00435A,51502,East - 1
07DBC0007,2109472775,ATBHM00003A,51502,East - 1
07DBC0031,2109472817,ATBHM00014A,51502,East - 1
07DBC0046,2109472838,ATBHM00016A,51502,East - 1
07DBC005B,2109472859,ATBHM00033A,51502,East - 1
07DBC0071,2109472881,ATBHM00193A,51502,East - 1
07DBC0085,2109472901,ATBHM00228A,51502,East - 1
07DBC009A,2109472922,ATBHM00254A,51502,East - 1
07DBC00AF,2109472943,ATBHM00309A,51502,East - 1
07DBC00C4,2109472964,ATBHM00310A,51502,East - 1
07DBC00D9,2109472985,ATBHM00427A,51502,East - 1
07DBC00EE,2109473006,ATBHM00429A,51502,East - 1
07DBC0103,2109473027,ATBHM00455B,51502,East - 1
07DBC0118,2109473048,ATBHM00485A,51502,East - 1
07DBC1007,2109476871,ATBHM00015A,51502,East - 1
07DBC101C,2109476892,ATBHM00018A,51502,East - 1
07DBC1046,2109476934,ATBHM00130A,51502,East - 1
07DBC105B,2109476955,ATBHM00200A,51502,East - 1
07DBC1071,2109476977,ATBHM00201A,51502,East - 1
07DBC1085,2109476997,ATBHM00227A,51502,East - 1
07DBC109A,2109477018,ATBHM00233A,51502,East - 1
07DBC10AF,2109477039,ATBHM00237A,51502,East - 1
07DBC10D9,2109477081,ATBHM00286B,51502,East - 1
07DBC10EE,2109477102,ATBHM00324B,51502,East - 1
07DBC1103,2109477123,ATBHM00450A,51502,East - 1
04EDB9007,1323012103,BOBDL00014B,32303,East - 1
04EDB905B,1323012187,BOBDL00034A,32303,East - 1
04EDB9071,1323012209,BOBDL00043A,32303,East - 1
04EDB9085,1323012229,BOBDL00053A,32303,East - 1
04EDB909A,1323012250,BOBDL00056A,32303,East - 1
04EDB90C4,1323012292,BOBDL00077A,32303,East - 1
04EDB90D9,1323012313,BOBDL00090A,32303,East - 1
04EDB90EE,1323012334,BOBDL00091A,32303,East - 1
04EDB9103,1323012355,BOBDL00094A,32303,East - 1
04EDB9142,1323012418,BOBDL00136A,32303,East - 1
04EDB9157,1323012439,BOBDL00217A,32303,East - 1
04EDC4007,1323057159,BOBDL00018A,32303,East - 1
04EDC401C,1323057180,BOBDL00028A,32303,East - 1
04EDC4046,1323057222,BOBDL00041A,32303,East - 1
04EDC405B,1323057243,BOBDL00052A,32303,East - 1
04EDC4071,1323057265,BOBDL00054A,32303,East - 1
04EDC4085,1323057285,BOBDL00055A,32303,East - 1
04EDC409A,1323057306,BOBDL00074A,32303,East - 1
04EDC40AF,1323057327,BOBDL00088A,32303,East - 1
04EDC40C4,1323057348,BOBDL00089A,32303,East - 1
04EDC40D9,1323057369,BOBDL00096A,32303,East - 1
04EDC4142,1323057474,BOBDL00138A,32303,East - 1
07DBC901C,2109509660,ATBHM00147A,51504,East - 1
07DBC9031,2109509681,ATBHM00148A,51504,East - 1
07DBC905B,2109509723,ATBHM00255A,51504,East - 1
07DBC9071,2109509745,ATBHM00269A,51504,East - 1
07DBC9085,2109509765,ATBHM00270A,51504,East - 1
07DBC90AF,2109509807,ATBHM00407A,51504,East - 1
07DBC90C4,2109509828,ATBHM00411A,51504,East - 1
07DBCA007,2109513735,ATBHM00002A,51504,East - 1
07DBCA01C,2109513756,ATBHM00093A,51504,East - 1
07DBCA031,2109513777,ATBHM00102A,51504,East - 1
07DBCA046,2109513798,ATBHM00143A,51504,East - 1
07DBCA05B,2109513819,ATBHM00145A,51504,East - 1
07DBCA071,2109513841,ATBHM00158B,51504,East - 1
07DBCA085,2109513861,ATBHM00206A,51504,East - 1
07DBCA09A,2109513882,ATBHM00207A,51504,East - 1
07DBCA0D9,2109513945,ATBHM00271A,51504,East - 1
07DBCA0EE,2109513966,ATBHM00412A,51504,East - 1
07DBCA118,2109514008,ATBHM00453A,51504,East - 1
07DBCB01C,2109517852,ATBHM00039A,51504,East - 1
07DBCB031,2109517873,ATBHM00060A,51504,East - 1
07DBCB05B,2109517915,ATBHM00094A,51504,East - 1
07DBCB071,2109517937,ATBHM00104A,51504,East - 1
07DBCB085,2109517957,ATBHM00144B,51504,East - 1
07DBCB09A,2109517978,ATBHM00146A,51504,East - 1
07DBCB0AF,2109517999,ATBHM00204A,51504,East - 1
07DBCB0C4,2109518020,ATBHM00205A,51504,East - 1
07DBCB0D9,2109518041,ATBHM00263A,51504,East - 1
07DBCB103,2109518083,ATBHM00379A,51504,East - 1
07DBCB118,2109518104,ATBHM00401A,51504,East - 1
07DBC401C,2109489180,ATBHM00044A,51505,East - 1
07DBC4031,2109489201,ATBHM00083A,51505,East - 1
07DBC4046,2109489222,ATBHM00111A,51505,East - 1
07DBC4085,2109489285,ATBHM00261A,51505,East - 1
07DBC409A,2109489306,ATBHM00303A,51505,East - 1
07DBC40C4,2109489348,ATBHM00380A,51505,East - 1
07DBC40D9,2109489369,ATBHM00402A,51505,East - 1
07DBC40EE,2109489390,ATBHM00405A,51505,East - 1
07DBC4103,2109489411,ATBHM00420A,51505,East - 1
07DBC4118,2109489432,ATBHM00421A,51505,East - 1
07DBC412D,2109489453,ATBHM00423A,51505,East - 1
07DBC4142,2109489474,ATBHM00436A,51505,East - 1
07DBC4157,2109489495,ATBHM00482B,51505,East - 1
07DBC501C,2109493276,ATBHM00059A,51505,East - 1
07DBC5046,2109493318,ATBHM00253A,51505,East - 1
07DBC505B,2109493339,ATBHM00304B,51505,East - 1
07DBC5071,2109493361,ATBHM00305A,51505,East - 1
07DBC5085,2109493381,ATBHM00307A,51505,East - 1
07DBC509A,2109493402,ATBHM00431A,51505,East - 1
07DBC50AF,2109493423,ATBHM00480B,51505,East - 1
07DBC6007,2109497351,ATBHM00034A,51505,East - 1
07DBC601C,2109497372,ATBHM00088A,51505,East - 1
07DBC6031,2109497393,ATBHM00095A,51505,East - 1
07DBC6071,2109497457,ATBHM00161A,51505,East - 1
07DBC609A,2109497498,ATBHM00403A,51505,East - 1
07DBC60AF,2109497519,ATBHM00406A,51505,East - 1
07DBC60C4,2109497540,ATBHM00475A,51505,East - 1
07DBC7007,2109501447,ATBHM00029A,51505,East - 1
07DBC701C,2109501468,ATBHM00046A,51505,East - 1
07DBC7046,2109501510,ATBHM00098A,51505,East - 1
07DBC705B,2109501531,ATBHM00109A,51505,East - 1
07DBC7071,2109501553,ATBHM00160A,51505,East - 1
07DBC709A,2109501594,ATBHM00378A,51505,East - 1
07DBC70AF,2109501615,ATBHM00398A,51505,East - 1
07DBC70C4,2109501636,ATBHM00400A,51505,East - 1
07DBC70D9,2109501657,ATBHM00459A,51505,East - 1
07DBC70EE,2109501678,ATBHM00462A,51505,East - 1
07DBC8007,2109505543,ATBHM00001A,51505,East - 1
07DBC801C,2109505564,ATBHM00024A,51505,East - 1
07DBC8046,2109505606,ATBHM00052A,51505,East - 1
07DBC8071,2109505649,ATBHM00141A,51505,East - 1
07DBC8085,2109505669,ATBHM00142A,51505,East - 1
07DBC809A,2109505690,ATBHM00162A,51505,East - 1
07DBC80C4,2109505732,ATBHM00240A,51505,East - 1
07DBC80EE,2109505774,ATBHM00415A,51505,East - 1
07DBC8103,2109505795,ATBHM00454A,51505,East - 1
07DBD609A,2109563034,ATBHM00357A,51508,East - 1
