NR_Cell_Identity,NR_Cell_Identity_decimal,Cell_Site_Common_Name,TAC,AWS Region
0CFC39008,3485700104,SDLAS00061B,85101,West - 2
0CFC3901D,3485700125,SDLAS00071A,85101,West - 2
0CFC39032,3485700146,SDLAS00072A,85101,West - 2
0CFC39047,3485700167,SDLAS00073A,85101,West - 2
0CFC3905C,3485700188,SDLAS00084B,85101,West - 2
0CFC39086,3485700230,SDLAS00094B,85101,West - 2
0CFC3909B,3485700251,SDLAS00107C,85101,West - 2
0CFC390C5,3485700293,SDLAS00229A,85101,West - 2
0CFC390DA,3485700314,SDLAS00062B,85101,West - 2
0CFC390EF,3485700335,SDLAS00064A,85101,West - 2
0CFC3A008,3485704200,SDLAS00017C,85101,West - 2
0CFC3A01D,3485704221,SDLAS00039B,85101,West - 2
0CFC3A032,3485704242,SDLAS00063B,85101,West - 2
0CFC3A047,3485704263,SDLAS00066A,85101,West - 2
0CFC3A05C,3485704284,SDLAS00068B,85101,West - 2
0CFC3A086,3485704326,SDLAS00081B,85101,West - 2
0CFC3A09B,3485704347,SDLAS00124B,85101,West - 2
0CFC3A0C5,3485704389,SDLAS00226A,85101,West - 2
0CFC3B008,3485708296,SDLAS00002C,85101,West - 2
0CFC3B01D,3485708317,SDLAS00015B,85101,West - 2
0CFC3B032,3485708338,SDLAS00059B,85101,West - 2
0CFC3B047,3485708359,SDLAS00065A,85101,West - 2
0CFC3B05C,3485708380,SDLAS00070B,85101,West - 2
0CFC3B086,3485708422,SDLAS00109B,85101,West - 2
0CFC3B09B,3485708443,SDLAS00110B,85101,West - 2
0CFC3B0C5,3485708485,SDLAS00232A,85101,West - 2
0CFC3C008,3485712392,SDLAS00046A,85101,West - 2
0CFC3C01D,3485712413,SDLAS00049A,85101,West - 2
0CFC3C032,3485712434,SDLAS00053A,85101,West - 2
0CFC3C047,3485712455,SDLAS00055A,85101,West - 2
0CFC3C05C,3485712476,SDLAS00057A,85101,West - 2
0CFC3C09B,3485712539,SDLAS00069B,85101,West - 2
0CFC3C0C5,3485712581,SDLAS00189A,85101,West - 2
0CFC3D008,3485716488,SDLAS00028B,85101,West - 2
0CFC3D01D,3485716509,SDLAS00031B,85101,West - 2
0CFC3D032,3485716530,SDLAS00033B,85101,West - 2
0CFC3D047,3485716551,SDLAS00045B,85101,West - 2
0CFC3D05C,3485716572,SDLAS00086B,85101,West - 2
