NR_Cell_Identity,NR_Cell_Identity_decimal,Cell_Site_Common_Name,TAC,AWS Region
066C8C01B,1724432411,RIRIC00170A,42100,East - 1
066C8C030,1724432432,RIRIC00181A,42100,East - 1
066C8C045,1724432453,RIRIC00200A,42100,East - 1
066C8C0C3,1724432579,RIRIC00481A,42100,East - 1
066C8D01B,1724436507,RIRIC00026A,42100,East - 1
066C8D030,1724436528,RIRIC00180A,42100,East - 1
066C8D045,1724436549,RIRIC00198A,42100,East - 1
066C8D05A,1724436570,RIRIC00229A,42100,East - 1
066C8D06F,1724436591,RIRIC00231A,42100,East - 1
066C8D070,1724436592,RIRIC00231A,42100,East - 1
066C8D084,1724436612,RIRIC00235A,42100,East - 1
066C8D099,1724436633,RIRIC00356A,42100,East - 1
066C8D0ED,1724436717,RIRIC00484A,42100,East - 1
066C8D102,1724436738,RIRIC00499A,42100,East - 1
066C8D117,1724436759,RIRIC00511A,42100,East - 1
066C8E006,1724440582,RIRIC00124A,42100,East - 1
066C8E01B,1724440603,RIRIC00264A,42100,East - 1
066C8E030,1724440624,RIRIC00302A,42100,East - 1
066C8E099,1724440729,RIRIC00452A,42100,East - 1
066C8E0AE,1724440750,RIRIC00478A,42100,East - 1
066C8E0B0,1724440752,RIRIC00478A,42100,East - 1
066C8E0C3,1724440771,RIRIC00485A,42100,East - 1
066C8E0D8,1724440792,RIRIC00493A,42100,East - 1
066C8E0ED,1724440813,RIRIC00496A,42100,East - 1
066C8E102,1724440834,RIRIC00512A,42100,East - 1
066C8F006,1724444678,RIRIC00102A,42100,East - 1
066C8F030,1724444720,RIRIC00319A,42100,East - 1
066C8F045,1724444741,RIRIC00390A,42100,East - 1
066C8F05A,1724444762,RIRIC00423A,42100,East - 1
066C8F06F,1724444783,RIRIC00434A,42100,East - 1
066C8F070,1724444784,RIRIC00434A,42100,East - 1
066C8F084,1724444804,RIRIC00458A,42100,East - 1
066C8F099,1724444825,RIRIC00472A,42100,East - 1
066C8F0AE,1724444846,RIRIC00476A,42100,East - 1
066C8F0B0,1724444848,RIRIC00476A,42100,East - 1
066C8F0C3,1724444867,RIRIC00487A,42100,East - 1
066C8F0D8,1724444888,RIRIC00516A,42100,East - 1
066C8F0ED,1724444909,RIRIC00573A,42100,East - 1
066C90006,1724448774,RIRIC00190A,42100,East - 1
066C9001B,1724448795,RIRIC00201A,42100,East - 1
066C90045,1724448837,RIRIC00258A,42100,East - 1
066C90084,1724448900,RIRIC00381A,42100,East - 1
066C90099,1724448921,RIRIC00522A,42100,East - 1
066C900AE,1724448942,RIRIC00526A,42100,East - 1
066C900B0,1724448944,RIRIC00526A,42100,East - 1
066C900ED,1724449005,RIRIC00737A,42100,East - 1
066C91006,1724452870,RIRIC00032A,42100,East - 1
066C9101B,1724452891,RIRIC00041B,42100,East - 1
066C91030,1724452912,RIRIC00150A,42100,East - 1
066C91045,1724452933,RIRIC00189A,42100,East - 1
066C9105A,1724452954,RIRIC00204A,42100,East - 1
066C9106F,1724452975,RIRIC00216A,42100,East - 1
066C91070,1724452976,RIRIC00216A,42100,East - 1
066C91084,1724452996,RIRIC00251A,42100,East - 1
066C91099,1724453017,RIRIC00318A,42100,East - 1
066C910D8,1724453080,RIRIC00360A,42100,East - 1
066C910ED,1724453101,RIRIC00419A,42100,East - 1
066C91102,1724453122,RIRIC00565A,42100,East - 1
066C91117,1724453143,RIRIC00578A,42100,East - 1
066C94006,1724465158,RIRIC00203A,42100,East - 1
066C9401B,1724465179,RIRIC00218A,42100,East - 1
066C9405A,1724465242,RIRIC00477A,42100,East - 1
066C9406F,1724465263,RIRIC00480A,42100,East - 1
066C94070,1724465264,RIRIC00480A,42100,East - 1
066C94084,1724465284,RIRIC00490A,42100,East - 1
066C940AE,1724465326,RIRIC00505A,42100,East - 1
066C940B0,1724465328,RIRIC00505A,42100,East - 1
066C940C3,1724465347,RIRIC00551A,42100,East - 1
07CC18006,2093056006,ATABY00011A,51100,East - 1
07CC1801B,2093056027,ATABY00012A,51100,East - 1
07CC18030,2093056048,ATABY00013A,51100,East - 1
07CC18045,2093056069,ATABY00014A,51100,East - 1
07CC1805A,2093056090,ATABY00022A,51100,East - 1
07CC1806F,2093056111,ATABY00025A,51100,East - 1
07CC18070,2093056112,ATABY00025A,51100,East - 1
07CC18084,2093056132,ATABY00029A,51100,East - 1
07CC18099,2093056153,ATABY00031B,51100,East - 1
07CC180AE,2093056174,ATABY00033A,51100,East - 1
07CC180B0,2093056176,ATABY00033A,51100,East - 1
07CC180C3,2093056195,ATABY00041A,51100,East - 1
07CC180D8,2093056216,ATABY00042A,51100,East - 1
07CC180ED,2093056237,ATABY00048B,51100,East - 1
07CC19006,2093060102,ATABY00003A,51100,East - 1
07CC1901B,2093060123,ATABY00009A,51100,East - 1
07CC19030,2093060144,ATABY00010A,51100,East - 1
07CC19045,2093060165,ATABY00017A,51100,East - 1
07CC1905A,2093060186,ATABY00018A,51100,East - 1
07CC1906F,2093060207,ATABY00026A,51100,East - 1
07CC19070,2093060208,ATABY00026A,51100,East - 1
07CC19084,2093060228,ATABY00027A,51100,East - 1
07CC19099,2093060249,ATABY00030A,51100,East - 1
07CC190AE,2093060270,ATABY00032A,51100,East - 1
07CC190B0,2093060272,ATABY00032A,51100,East - 1
07CC190C3,2093060291,ATABY00034A,51100,East - 1
07CC190D8,2093060312,ATABY00035A,51100,East - 1
07CC190ED,2093060333,ATABY00039A,51100,East - 1
07CC19102,2093060354,ATABY00051A,51100,East - 1
04EDBD006,1323028486,BOBDL00155A,32301,East - 1
04EDBD01B,1323028507,BOBDL00157A,32301,East - 1
04EDBD05A,1323028570,BOBDL00164A,32301,East - 1
04EDBD06F,1323028591,BOBDL00167A,32301,East - 1
04EDBD070,1323028592,BOBDL00167A,32301,East - 1
04EDBD099,1323028633,BOBDL00175A,32301,East - 1
04EDBD0AE,1323028654,BOBDL00185A,32301,East - 1
04EDBD0B0,1323028656,BOBDL00185A,32301,East - 1
04EDBD0D8,1323028696,BOBDL00194A,32301,East - 1
04EDBD117,1323028759,BOBDL00203A,32301,East - 1
04EDBD12C,1323028780,BOBDL00205A,32301,East - 1
04EDBD141,1323028801,BOBDL00207A,32301,East - 1
04EDBE006,1323032582,BOBDL00093A,32301,East - 1
04EDBE06F,1323032687,BOBDL00176A,32301,East - 1
04EDBE070,1323032688,BOBDL00176A,32301,East - 1
04EDBE084,1323032708,BOBDL00177A,32301,East - 1
04EDBE0C3,1323032771,BOBDL00183A,32301,East - 1
04EDBE117,1323032855,BOBDL00201A,32301,East - 1
